S	SGEHEAPRUNMARKER	20	game
F	4	4	FirstFreeTableEntry
F	8	4	NextHandleNeedingPool
F	12	4	RootTable
F	16	32	BuiltinRootTable
S	IUnknown	4	misc
F	0	4	lpVtbl
S	_FP_64	8	misc
F	0	8	W
S	__unnamed_375	4	misc
F	0	4	Reserved1
F	0	4	RegisterNumber
F	0	4	FunctionNumber
F	0	4	DeviceNumber
F	0	4	BusNumber
F	0	4	Reserved2
S	__unnamed_376	4	misc
F	0	4	bits
F	0	4	AsULONG
S	_PCI_TYPE1_CFG_CYCLE_BITS	4	misc
F	0	4	u
S	HENHMETAFILE__	4	misc
F	0	4	unused
S	_EISA_IRQ_CONFIGURATION	2	misc
F	0	1	ConfigurationByte
F	1	1	Reserved
S	_PCI_PMC	2	misc
F	0	1	Version
F	0	1	PMEClock
F	0	1	Rsvd1
F	0	1	DeviceSpecificInitialization
F	0	1	Rsvd2
F	1	1	Support
S	_OSVERSIONINFOW	276	misc
F	0	4	dwOSVersionInfoSize
F	4	4	dwMajorVersion
F	8	4	dwMinorVersion
F	12	4	dwBuildNumber
F	16	4	dwPlatformId
F	20	256	szCSDVersion
S	_MICROCODE_UPDATE_DATA_BLOCK	2048	misc
F	0	4	HeaderVersion
F	4	4	UpdateRevision
F	8	2	Year
F	10	1	Day
F	11	1	Month
F	12	4	Processor
F	16	4	Checksum
F	20	4	LoaderRevision
F	24	4	ProcessorFlags
F	28	20	Reserved
F	48	2000	UpdateData
S	__unnamed_385	8	misc
F	0	4	LowPart
F	4	4	HighPart
S	_LARGE_INTEGER	8	misc
F	0	4	LowPart
F	4	4	HighPart
F	0	8	u
F	0	8	QuadPart
S	__unnamed_396	4	misc
F	0	4	count0
F	0	4	count1
S	WORD2	4	misc
F	0	4	field
F	0	4	uValue
S	__unnamed_399	9	misc
F	0	4	Vector
F	4	4	Affinity
F	8	1	Irql
S	__unnamed_400	21	misc
F	0	12	Address
F	12	9	Interrupt
S	_PCI_DEVICE_DESCRIPTOR	37	misc
F	0	4	Bus
F	4	4	Slot
F	8	2	VendorID
F	10	2	DeviceID
F	12	1	BaseClass
F	13	1	SubClass
F	14	1	ProgIf
F	15	1	Reserved
F	16	21	ResourceData
S	_OBJECT_HEADER	24	misc
F	0	4	PointerCount
F	4	4	HandleCount
F	8	4	Type
F	12	4	Flags
F	16	8	Body
S	_PEB_LDR_DATA	36	misc
F	0	4	Length
F	4	1	Initialized
F	5	3	__align0
F	8	4	SsHandle
F	12	8	InLoadOrderModuleList
F	20	8	InMemoryOrderModuleList
F	28	8	InInitializationOrderModuleList
S	RIFFHEADER	8	misc
F	0	4	dwChunkId
F	4	4	dwDataSize
S	_LPCSVR_INITIALIZE	20	misc
F	0	4	ContextSize
S	_DIRECTORY_ENUM_CONTEXT	12	misc
F	0	4	QueryOffset
F	4	8	TemplateFileName
S	WAVEFORMATEXTENSIBLE	40	misc
F	0	18	Format
F	18	2	Samples
F	20	4	dwChannelMask
F	24	16	SubFormat
S	ANON_OBJECT_HEADER	32	misc
F	0	2	Sig1
F	2	2	Sig2
F	4	2	Version
F	6	2	Machine
F	8	4	TimeDateStamp
F	12	16	ClassID
F	28	4	SizeOfData
S	_WIN32_FILE_ATTRIBUTE_DATA	36	misc
F	0	4	dwFileAttributes
F	4	8	ftCreationTime
F	12	8	ftLastAccessTime
F	20	8	ftLastWriteTime
F	28	4	nFileSizeHigh
F	32	4	nFileSizeLow
S	_OSVERSIONINFOEXA	156	misc
F	0	4	dwOSVersionInfoSize
F	4	4	dwMajorVersion
F	8	4	dwMinorVersion
F	12	4	dwBuildNumber
F	16	4	dwPlatformId
F	20	128	szCSDVersion
F	148	2	wServicePackMajor
F	150	2	wServicePackMinor
F	152	2	wSuiteMask
F	154	1	wProductType
F	155	1	wReserved
S	_PCI_MSI_MESSAGE_ADDRESS	4	misc
F	0	4	Reserved
F	0	4	Address
S	__unnamed_430	8	misc
F	0	4	Short
F	4	4	Long
S	__unnamed_431	8	misc
F	0	8	ShortName
F	0	8	Name
F	0	8	LongName
S	DSP_CONTROL	16	misc
F	0	4	w0
F	4	4	w1
F	8	4	w2
F	12	4	w3
S	_CLIENT_ID	8	misc
F	0	4	UniqueProcess
F	4	4	UniqueThread
S	_WSABUF	8	misc
F	0	4	len
F	4	4	buf
S	_OBJECT_ATTRIBUTES	12	misc
F	0	4	RootDirectory
F	4	4	ObjectName
F	8	4	Attributes
